relation_id,n_triples,temporal_fanout,static_fanout,tail_fanin,n_heads,n_tails,head_tail_ratio,tail_entropy,one_to_one_frac,powerlaw_gamma,forman_ricci,grc,clustering,beta1,delta_hyp,ollivier_rc,longest_path,reciprocity,growth_rate,growth_r2,sustained_growth,ball_r1,ball_r2,ball_r3,ball_r4,saturation_r,branch_persist,eff_diameter
10,9478,1.127394,4.693969,1.147041,1111,1008,1.102183,5.556857,0.885334,1.572468,-91.17637,0.166113,0.15769,3285,0.046370,0.029514,7,0.201726,1.695051,0.873928,1.227951,7.608,195.467,892.633,1303.950,4,0.262022,8.00
11,28008,1.200154,8.175811,1.18678,1695,1702,0.995887,5.790214,0.846724,1.49258,-167.763941,0.188651,0.249362,9825,0.053460,0.022281,5,0.268581,1.693357,0.821113,1.195113,11.625,466.725,1731.158,2123.342,4,0.161395,8.00
12,14798,1.143586,6.408019,1.139272,1272,1250,1.0176,5.773159,0.874807,1.513606,-113.287698,0.183365,0.208209,5576,0.059406,0.011664,7,0.232855,1.625037,0.851315,1.165696,10.850,298.033,1149.700,1557.658,4,0.129895,8.00
13,5147,1.128728,3.851034,1.138465,725,739,0.981055,5.252828,0.886623,1.621952,-63.861719,0.226213,0.136455,1563,0.056676,0.003037,9,0.166189,1.111937,0.806928,0.843477,8.667,138.858,548.825,831.975,5,0.230425,8.00
14,548,1.11609,2.029762,1.111562,168,167,1.005988,4.440485,0.894094,1.812292,-13.945289,0.250429,0.057405,82,0.032126,0.020400,9,0.070381,0.737103,0.830600,0.592215,3.942,26.192,79.750,138.908,6,0.155241,8.00
15,39769,1.213579,8.945745,1.268104,1880,1726,1.089224,5.628246,0.836985,1.466007,-193.727108,0.133541,0.291501,12059,0.027857,0.061674,5,0.298728,1.613609,0.804733,1.132682,14.750,569.800,1841.567,2162.267,4,0.125415,8.00
16,142637,1.382034,16.272251,1.364595,3247,3228,1.005886,5.969001,0.777847,1.426637,-386.500728,0.166598,0.365649,39958,0.053604,0.034805,6,0.335680,1.672230,0.778830,1.162270,21.950,1193.858,3614.850,3998.125,4,0.102892,8.00
17,26745,1.200566,7.81008,1.180169,1627,1573,1.034329,5.69362,0.848902,1.498192,-168.115367,0.157141,0.256928,9099,0.052073,0.043459,5,0.245534,1.757858,0.819412,1.239879,8.975,418.683,1636.425,1997.367,4,0.090372,8.00
18,44095,1.331974,8.480778,1.227316,2107,1810,1.164088,5.715994,0.838544,1.482259,-220.010153,0.138037,0.289063,13437,0.064461,0.062228,7,0.214114,1.681437,0.798132,1.178890,13.300,635.667,2078.258,2434.958,4,0.120842,8.00
19,106706,1.38866,15.001044,1.380289,2874,2862,1.004193,6.024886,0.765516,1.444894,-253.947541,0.043079,0.304105,21447,0.052028,0.058435,5,0.866328,1.664807,0.808308,1.169906,17.308,728.167,2486.475,2954.783,4,0.058903,8.00
20,19906,1.139896,6.750491,1.192404,1527,1379,1.107324,5.683768,0.883411,1.514923,-145.241969,0.15739,0.21193,7225,0.064233,-0.003817,8,0.230307,1.676995,0.839158,1.194285,10.842,366.300,1409.017,1852.542,4,0.012693,8.00
21,2424,1.152091,2.991853,1.108875,491,463,1.060475,5.134002,0.861217,1.67652,-40.18649,0.236956,0.155914,689,0.066580,-0.027575,8,0.145677,1.164416,0.841302,0.893885,4.792,67.083,293.158,509.258,5,0.168063,8.00
22,23239,1.253452,7.419501,1.238753,1323,1317,1.004556,5.406005,0.805448,1.493493,-147.608354,0.16253,0.251508,6614,0.061044,0.021509,8,0.312347,1.651561,0.817747,1.170823,9.775,381.758,1263.308,1613.450,4,0.138303,8.00
23,71876,1.283867,12.435717,1.285957,2279,2273,1.00264,5.933307,0.790637,1.433165,-229.402894,0.110078,0.319399,18448,0.054830,0.046619,5,0.512755,1.668236,0.795740,1.166625,14.600,686.033,2225.733,2564.458,4,0.016364,8.00
24,36607,1.229,9.042969,1.242769,1792,1732,1.034642,5.668034,0.825354,1.473039,-193.053589,0.142312,0.287265,11729,0.020647,0.057287,5,0.277322,1.517080,0.801567,1.063284,19.917,633.825,1882.033,2177.017,4,0.081192,8.00
25,3940,1.100866,3.808542,1.110172,679,683,0.994143,5.525995,0.909193,1.659649,-50.791733,0.213875,0.112839,1046,0.042216,0.045945,8,0.540603,1.163301,0.820344,0.886686,5.950,100.400,414.158,677.083,5,0.167917,8.00
26,2229,1.389651,3.219457,1.410759,442,444,0.995495,5.352878,0.800499,1.689895,-21.411527,0.249491,0.124115,458,0.041532,0.080506,8,0.609979,0.898112,0.823937,0.716816,3.975,37.758,159.875,321.050,6,0.302429,8.00
27,24462,1.175154,7.285473,1.16708,1776,1738,1.021864,5.908075,0.863086,1.518274,-157.586743,0.163471,0.235299,8582,0.051307,0.058296,5,0.330319,1.667890,0.832625,1.184774,12.833,447.375,1675.867,2146.192,4,0.174678,8.00
28,13236,1.177161,6.041778,1.155478,1125,1117,1.007162,5.531881,0.84614,1.532755,-109.122701,0.202795,0.215667,4519,0.030580,0.039214,8,0.239812,1.651353,0.855854,1.182986,9.233,250.208,1056.000,1404.375,4,0.134453,8.00
29,6526,1.131023,4.371328,1.112513,851,835,1.019162,5.501467,0.882149,1.59735,-68.895345,0.204719,0.1618,2228,0.059842,0.008801,7,0.186559,1.609437,0.884282,1.170799,8.075,159.233,713.750,1046.817,4,0.163932,8.00
30,58316,1.293267,11.087065,1.29666,2412,2401,1.004581,6.022089,0.799188,1.48782,-177.480551,0.026956,0.253295,11718,0.053932,0.018618,7,0.940618,1.684359,0.816328,1.190694,13.017,545.392,1887.808,2361.075,4,0.131365,8.00
31,19375,1.147536,6.600567,1.187121,1412,1315,1.073764,5.600384,0.876806,1.511623,-128.685993,0.175226,0.214335,6442,0.061357,0.049014,6,0.238197,1.726184,0.844794,1.230883,8.667,303.433,1285.025,1689.700,4,0.176823,8.00
32,6080,1.149121,4.203008,1.115187,798,788,1.01269,5.437306,0.865999,1.605728,-69.790897,0.223975,0.148604,1963,0.054598,0.024895,8,0.192010,1.179846,0.806604,0.891653,7.483,137.008,616.958,952.950,5,0.179569,8.00
33,5377,1.145749,4.130366,1.176844,629,620,1.014516,5.005481,0.872576,1.593737,-53.721248,0.184925,0.165039,1500,0.050301,0.035100,7,0.199384,1.175661,0.803782,0.889244,5.517,108.075,445.575,704.908,5,0.235030,8.00
34,72290,1.338654,12.807239,1.325158,2459,2452,1.002855,6.004189,0.782786,1.447928,-218.442849,0.087016,0.247438,17246,0.031405,0.060083,5,0.735465,1.608404,0.811045,1.131842,18.200,665.150,2171.808,2613.208,4,0.184906,8.00
35,3789,1.185915,3.735135,1.142986,555,530,1.04717,5.108568,0.837872,1.620695,-44.014349,0.210254,0.150907,1076,0.047838,0.048302,7,0.251809,1.162610,0.831117,0.886930,5.642,85.467,365.908,619.642,5,0.220070,8.00
36,28828,1.187853,8.062757,1.179011,1705,1677,1.016696,5.786083,0.852981,1.491296,-159.899649,0.179016,0.244375,9827,0.054628,0.014995,6,0.257365,1.658266,0.831805,1.177425,12.833,439.425,1640.675,2080.717,4,0.182498,8.00
37,31819,1.230148,8.410581,1.213215,1739,1826,0.952355,5.699749,0.829777,1.493099,-193.746379,0.195601,0.241329,10437,0.053976,0.033312,5,0.262820,1.560234,0.811364,1.100700,17.633,587.708,1791.442,2206.267,4,0.137498,8.00
38,17610,1.152638,6.14324,1.165145,1494,1392,1.073276,5.747193,0.873544,1.531529,-125.156238,0.178213,0.214257,6252,0.058582,0.028607,8,0.227283,1.617456,0.864000,1.168583,12.842,316.867,1246.250,1786.017,4,0.136605,8.00
39,621,1.099115,1.957082,1.087566,233,237,0.983122,4.914602,0.915044,1.820946,-13.953704,0.258056,0.062782,103,0.042006,-0.004929,9,0.105263,0.634851,0.805500,0.523605,3.942,25.333,79.758,148.308,7,0.130448,8.00
40,1509,1.131184,2.811659,1.144917,223,197,1.13198,3.999355,0.889055,1.706121,-29.320144,0.232553,0.130034,251,0.027996,0.040965,11,0.226475,0.926308,0.825949,0.710352,5.425,49.933,154.292,231.892,5,0.067920,8.00
41,5056,1.107072,3.871486,1.096984,747,735,1.016327,5.342655,0.901905,1.604703,-67.404852,0.219921,0.177877,1639,0.033539,-0.048465,8,0.175657,1.240812,0.798506,0.935036,5.267,122.433,569.592,894.683,5,0.244404,8.00
42,883,1.106516,2.234615,1.071602,260,261,0.996169,4.967773,0.912281,1.766096,-18.505455,0.277378,0.060914,175,0.035397,-0.006618,10,0.106713,0.838383,0.851653,0.677249,4.008,28.258,103.958,208.717,6,0.180433,8.00
43,10843,1.198916,5.591942,1.189447,968,871,1.111366,5.195298,0.859023,1.580193,-94.929032,0.119653,0.179089,2931,0.045742,0.062085,6,0.510992,1.448413,0.857117,1.042810,12.092,218.683,762.808,996.350,4,0.161289,8.00
44,7026,1.129037,4.106806,1.1443,955,879,1.086462,5.539889,0.887353,1.59146,-73.395362,0.163696,0.159371,2323,0.046221,0.041176,8,0.196838,1.202968,0.789237,0.907065,7.233,172.375,709.942,1082.942,5,0.225145,8.00
45,6678,1.159979,4.332898,1.131289,766,719,1.065369,5.219759,0.872677,1.583574,-80.749332,0.189906,0.171659,2002,0.025243,0.019225,9,0.197047,1.131325,0.762460,0.847223,7.392,185.575,632.000,900.458,5,0.192234,8.00
46,8840,1.11588,4.952284,1.126832,985,930,1.05914,5.426303,0.894219,1.571644,-95.669754,0.196145,0.168302,3146,0.052897,0.031138,6,0.184912,1.642483,0.848523,1.181134,7.808,231.708,867.733,1199.908,4,0.181963,8.00
47,2645,1.142055,2.871795,1.158056,546,471,1.159236,5.165806,0.874352,1.676035,-42.214433,0.206716,0.116083,738,0.045534,0.034738,8,0.144133,0.858003,0.787861,0.679899,5.725,68.250,255.017,450.667,6,0.285451,8.00
48,3801,1.136323,3.511924,1.130241,629,600,1.048333,5.118791,0.878326,1.647056,-61.245073,0.20906,0.183286,1130,0.047012,0.041815,7,0.208239,1.158299,0.797550,0.874733,6.042,119.825,473.967,734.200,5,0.150537,8.00
49,583,1.136452,1.923469,1.106262,196,154,1.272727,4.252225,0.869396,1.829006,-11.865497,0.176876,0.066506,92,0.044299,0.035734,10,0.185676,0.644262,0.835841,0.533713,2.992,14.958,49.492,99.183,7,0.093508,8.00
50,577,1.076493,1.918367,1.096958,196,179,1.094972,4.726343,0.929104,1.803027,-7.883008,0.223518,0.04003,87,0.060780,0.016044,11,0.090426,0.639643,0.852535,0.533811,3.542,16.942,51.108,104.708,7,0.262188,8.00
51,1867,1.129462,3.010283,1.123345,389,379,1.026385,4.906601,0.881428,1.677681,-43.434457,0.229818,0.145814,541,0.025985,0.044302,8,0.175918,1.064056,0.811553,0.812948,5.067,73.483,256.958,394.142,5,0.299805,8.00
52,7915,1.149601,4.517658,1.120311,1076,1051,1.023787,5.797232,0.863181,1.561951,-76.569024,0.180343,0.160872,2997,0.053444,0.026443,8,0.190907,1.279587,0.794036,0.964664,6.167,169.383,789.208,1249.367,5,0.239738,8.00
53,2061,1.075117,2.642202,1.13304,436,355,1.228169,4.997114,0.932707,1.693982,-27.194419,0.181565,0.098825,510,0.050868,0.040097,7,0.133681,1.123998,0.867512,0.869897,4.992,53.225,220.125,412.742,5,0.203292,8.00
54,3155,1.119986,3.409195,1.178118,435,384,1.132812,4.638872,0.894214,1.655686,-41.537405,0.192883,0.14727,753,0.060586,0.010430,7,0.233311,1.060760,0.821887,0.806199,5.750,72.825,274.283,430.133,5,0.177217,8.00
55,2459,1.161001,3.44012,1.129017,334,324,1.030864,4.624708,0.851747,1.642482,-27.6308,0.238073,0.143361,576,0.059157,-0.019051,7,0.236728,0.989147,0.865409,0.767041,6.342,50.892,180.633,310.033,5,0.191182,8.00
56,816,1.110204,2.061728,1.13491,243,213,1.140845,4.624582,0.90068,1.767305,-11.995868,0.207109,0.090495,161,0.060896,0.001490,12,0.067864,0.785115,0.865743,0.637258,4.042,22.467,77.092,151.892,6,0.265596,8.00
57,527,1.093361,1.88172,1.116525,186,177,1.050847,4.651645,0.917012,1.844601,-9.904153,0.269036,0.083432,65,0.022423,0.040615,8,0.211429,0.613247,0.838522,0.508516,3.567,16.617,51.258,98.042,7,0.217524,8.00
58,16951,1.186879,6.358761,1.175031,1324,1307,1.013007,5.497494,0.855062,1.532028,-131.79438,0.176916,0.217379,5788,0.051084,0.046181,6,0.216178,1.861810,0.839019,1.328345,5.325,265.458,1184.325,1603.517,4,0.125004,8.00
59,16274,1.203787,6.350822,1.197058,1277,1248,1.023237,5.719011,0.844441,1.536252,-99.786871,0.123718,0.197583,4259,0.072545,0.014790,7,0.583724,1.730722,0.863105,1.250457,7.117,221.467,955.908,1399.750,4,0.223730,8.00
60,1618,1.15654,3.052846,1.10143,246,249,0.987952,4.032222,0.867048,1.716141,-46.482456,0.245472,0.190544,325,0.043550,0.026058,6,0.178429,1.330396,0.860429,0.962800,5.117,74.383,220.675,300.267,4,0.054358,8.00
61,518,1.068041,1.818653,1.121212,193,182,1.06044,4.777987,0.942268,1.836254,-8.618076,0.272006,0.031268,66,0.042362,-0.014971,11,0.045584,0.680997,0.877528,0.571461,2.950,12.158,41.067,89.650,7,0.300220,8.00
62,2752,1.144759,3.205589,1.114621,501,515,0.972816,5.290652,0.866889,1.663335,-37.80597,0.23762,0.102651,768,0.033303,0.037598,7,0.164384,1.199610,0.850022,0.920573,4.717,65.333,307.908,559.458,5,0.275863,8.00
63,20709,1.295689,6.696021,1.290763,1533,1526,1.004587,5.815023,0.810048,1.562215,-90.584045,0.046591,0.179946,3949,0.061776,0.050526,8,0.927813,1.283495,0.761398,0.958717,6.250,224.900,1025.692,1430.650,5,0.141172,8.00
64,533,1.10124,2.138686,1.115063,137,116,1.181034,3.424107,0.89876,1.828893,-29.483395,0.201549,0.110173,76,0.016708,0.053466,8,0.150171,0.871589,0.785606,0.664495,3.900,43.683,105.675,147.592,5,-0.020006,8.00
65,10643,1.15509,5.425243,1.142811,1030,1040,0.990385,5.44933,0.863469,1.537846,-103.194012,0.223314,0.174084,3605,0.027614,0.044975,6,0.230852,1.574023,0.835440,1.126345,9.950,289.808,941.833,1275.950,4,0.174486,8.00
66,2474,1.182035,3.43038,1.092756,395,419,0.942721,5.000057,0.839943,1.668526,-55.405276,0.272878,0.135245,682,0.042391,0.017849,7,0.153506,1.050504,0.776195,0.790323,5.817,104.925,337.650,481.542,5,0.174019,8.00
67,9839,1.163415,5.056352,1.171588,976,990,0.985859,5.462494,0.86189,1.565092,-85.982805,0.218535,0.185294,3112,0.020854,0.039961,6,0.208713,1.230708,0.785742,0.927385,6.633,171.992,746.200,1125.158,5,0.236806,8.00
68,3046,1.090193,3.30339,1.088246,590,549,1.074681,5.21773,0.919112,1.676661,-54.481278,0.222019,0.111804,1008,0.067636,0.020956,8,0.136480,1.195892,0.813880,0.907148,5.008,95.142,409.208,670.292,5,0.219000,8.00
69,465,1.083916,2.204225,1.123188,142,166,0.855422,4.597512,0.925408,1.823669,-14.149351,0.305511,0.057362,75,0.028747,0.004645,10,0.031949,0.724455,0.825580,0.584426,3.558,22.550,72.292,119.033,6,0.222683,8.00
70,1173,1.112903,2.527027,1.100375,296,284,1.042254,4.738993,0.898482,1.732491,-24.77591,0.230454,0.072422,305,0.054507,0.004048,8,0.090909,1.116984,0.869233,0.865575,3.642,36.308,157.275,287.458,5,0.212830,8.00
71,3448,1.105483,3.29661,1.109752,590,561,1.051693,5.163062,0.90125,1.658614,-49.436635,0.218736,0.124886,1016,0.039577,0.036309,7,0.141902,1.158812,0.819348,0.880320,5.725,92.817,398.558,641.508,5,0.136539,8.00
72,5059,1.129745,3.921703,1.1153,728,724,1.005525,5.406991,0.880974,1.607384,-62.496933,0.256332,0.156063,1619,0.048578,0.021535,7,0.173030,1.227617,0.811377,0.928329,5.692,112.400,542.017,870.325,5,0.208957,8.00
73,1820,1.114513,2.876011,1.102362,371,371,1.0,4.734397,0.892223,1.710035,-43.093718,0.241451,0.141846,454,0.040418,0.023521,11,0.179944,0.842590,0.745205,0.664380,3.900,64.550,213.867,343.583,6,0.220560,8.00
74,1611,1.092203,2.785714,1.121866,350,341,1.026393,4.709843,0.91661,1.733605,-30.365854,0.257678,0.110565,402,0.049126,-0.005593,8,0.149744,1.020298,0.844809,0.783521,5.792,56.983,208.475,341.983,5,0.127007,8.00
75,4502,1.124657,3.78481,1.121016,632,587,1.076661,5.219561,0.886335,1.621165,-50.692557,0.194371,0.171882,1323,0.051146,0.024727,10,0.191472,1.215039,0.818936,0.922732,4.950,90.933,425.025,700.583,5,0.307609,8.00
76,2529,1.07617,3.07457,1.098133,523,482,1.085062,5.241762,0.928085,1.679515,-37.525017,0.211585,0.0887,788,0.039561,0.025707,7,0.135572,1.150382,0.853257,0.884908,5.633,67.433,304.992,539.250,5,0.226573,8.00
77,553,1.097222,1.823256,1.135524,215,184,1.168478,4.648673,0.914683,1.817076,-8.740541,0.161252,0.066253,88,0.051801,0.034255,11,0.112245,0.650959,0.867647,0.545834,3.408,15.150,46.417,96.150,7,0.192103,8.00
78,2574,1.169468,3.909091,1.141463,297,316,0.939873,4.56781,0.84507,1.631231,-32.892514,0.271021,0.18104,616,0.069009,0.020241,7,0.204996,0.993685,0.845417,0.761414,6.617,58.642,218.225,349.233,5,0.181964,8.00
79,1745,1.070552,2.666667,1.103732,375,321,1.168224,4.776443,0.930061,1.692556,-29.055556,0.190745,0.102739,438,0.046996,0.012258,8,0.128000,1.159448,0.864339,0.899122,3.792,44.792,193.825,361.983,5,0.142254,8.00
80,2372,1.121513,2.9631,1.085584,542,516,1.050388,5.398875,0.89078,1.687861,-36.411844,0.221929,0.11598,747,0.043980,-0.001746,9,0.149440,1.139356,0.851177,0.873774,6.183,71.383,327.400,572.350,5,0.169534,8.00
81,2851,1.117163,3.139959,1.100347,493,486,1.014403,4.911131,0.888715,1.678703,-54.266202,0.235567,0.132062,769,0.051215,-0.014319,7,0.145995,1.108166,0.786000,0.836541,5.275,104.383,361.108,539.367,5,0.309694,8.00
82,1196,1.1737,2.601375,1.12406,291,305,0.954098,4.926734,0.85476,1.768391,-19.964111,0.269973,0.103069,226,0.040810,0.026601,8,0.380449,0.803291,0.806829,0.639080,4.025,35.142,123.483,221.400,6,0.424018,8.00
83,2237,1.110174,3.007833,1.211809,383,361,1.060942,4.759219,0.897767,1.669791,-34.252336,0.214241,0.13875,564,0.046227,0.030224,7,0.142361,1.009294,0.833695,0.772277,6.517,68.750,240.408,379.950,5,0.299370,8.00
84,351,1.100313,2.051282,1.090062,117,135,0.866667,4.257425,0.899687,1.87946,-14.248889,0.304472,0.111341,47,0.027365,0.048889,8,0.125000,0.654309,0.822034,0.526123,2.992,17.692,45.425,72.517,6,0.247295,8.00
85,358,1.065476,1.56213,1.056047,169,153,1.104575,4.623367,0.9375,1.893807,-5.579767,0.247246,0.037113,30,0.023769,0.002661,12,0.053030,0.514460,0.869360,0.439445,3.133,10.075,26.233,53.408,8,0.128547,8.00
86,122,1.140187,1.451613,1.161905,62,54,1.148148,3.716353,0.878505,1.943094,-1.409091,0.085544,0.0,5,0.006911,-0.023674,12,0.044444,0.288084,0.888743,0.248542,2.709,5.447,8.883,12.476,8,0.212684,8.00
87,769,1.108069,2.346847,1.109668,222,223,0.995516,4.708688,0.897695,1.721831,-18.969072,0.294341,0.135771,178,0.055191,0.048167,8,0.138196,0.787380,0.816756,0.628439,4.233,33.717,115.058,203.217,6,0.147091,8.00
88,2435,1.168426,3.022917,1.162846,480,478,1.004184,5.227845,0.851727,1.756116,-24.214674,0.115776,0.09503,282,0.031402,0.057615,9,0.985527,0.833848,0.801515,0.662439,4.175,40.292,152.217,273.600,6,0.338305,8.00
89,2886,1.147515,3.326577,1.126904,444,440,1.009091,5.117887,0.879523,1.657686,-31.511372,0.258334,0.11465,740,0.061028,0.005048,7,0.154367,1.124684,0.863929,0.867253,5.917,60.983,271.750,493.658,5,0.113064,8.00
90,936,1.134545,2.191235,1.186312,251,218,1.151376,4.53216,0.883636,1.766645,-22.328244,0.233889,0.072391,182,0.028923,0.021247,7,0.094545,0.826896,0.788807,0.655261,3.300,34.883,127.767,220.917,6,0.230323,8.00
91,1713,1.087619,2.62037,1.069956,432,423,1.021277,5.137299,0.91746,1.720559,-43.373699,0.258884,0.131262,466,0.035127,0.028368,7,0.132509,1.130896,0.815219,0.862519,4.125,70.433,258.075,420.608,5,0.228647,8.00
92,591,1.090406,2.174603,1.053476,189,203,0.931034,4.596844,0.922509,1.850335,-21.167959,0.298824,0.061976,104,0.027590,0.009799,9,0.116788,0.755540,0.805996,0.600607,3.850,29.533,97.542,166.417,6,0.201209,8.00
93,765,1.092857,2.136,1.078984,250,244,1.02459,4.72986,0.915714,1.794925,-17.824701,0.245498,0.060531,156,0.055396,0.022807,9,0.119850,0.808950,0.830345,0.648198,3.575,27.167,97.008,178.525,6,0.233030,8.00
94,2063,1.09443,2.742331,1.093849,489,429,1.13986,5.170039,0.909284,1.700046,-34.773838,0.202529,0.08597,612,0.059231,0.027629,8,0.107383,1.201406,0.851067,0.924522,4.117,60.183,264.617,491.950,5,0.248578,8.00
95,2472,1.102095,3.030738,1.127223,488,452,1.079646,4.838084,0.90593,1.683582,-52.631893,0.195778,0.14524,692,0.039290,-0.009382,7,0.185260,1.166840,0.797163,0.881742,4.133,82.817,340.067,514.783,5,0.107977,8.00
96,1475,1.094214,2.597884,1.082966,378,392,0.964286,5.154227,0.91543,1.730731,-27.775723,0.266723,0.080944,342,0.033717,0.027384,10,0.238289,0.865107,0.798000,0.687387,4.133,44.833,178.625,319.650,6,0.229673,8.00
97,1652,1.188489,2.858974,1.122283,312,309,1.009709,4.681252,0.838129,1.713868,-33.721455,0.243398,0.13612,363,0.043474,0.045923,9,0.213004,1.021908,0.815255,0.781543,4.783,63.533,198.675,313.350,5,0.215756,8.00
98,561,1.085106,1.864322,1.126506,199,171,1.163743,4.532184,0.914894,1.818006,-11.536723,0.223148,0.080287,85,0.037349,0.024004,12,0.091644,0.632520,0.827916,0.525105,3.150,16.525,52.908,103.350,7,0.249150,8.00
99,2894,1.11094,3.287931,1.107539,580,523,1.108987,5.198948,0.906718,1.689412,-46.447277,0.213203,0.108197,957,0.049313,0.027166,7,0.189827,1.111459,0.814048,0.843270,6.717,102.658,402.242,636.825,5,0.199824,8.00
100,789,1.095833,2.346457,1.230889,127,111,1.144144,3.093857,0.913889,1.788526,-26.684015,0.259226,0.129963,89,0.019732,0.058183,7,0.194631,0.837187,0.790972,0.639312,4.292,42.133,100.317,138.600,5,-0.008071,8.00
101,958,1.086168,2.216981,1.081264,318,282,1.12766,4.753556,0.921769,1.780968,-34.686657,0.22697,0.102834,235,0.042156,0.006312,8,0.107801,1.104498,0.833266,0.849989,3.700,52.442,188.108,318.008,5,0.236144,8.00
102,1552,1.139501,2.781538,1.209665,325,307,1.058632,4.961619,0.906021,1.708587,-23.088548,0.279357,0.096402,387,0.041806,0.015824,10,0.126106,0.863999,0.812456,0.687414,4.058,37.467,156.800,290.650,6,0.269076,8.00
103,1809,1.0957,2.850374,1.176203,401,394,1.017766,5.159204,0.90854,1.686609,-36.640376,0.264724,0.109195,509,0.031653,0.043195,9,0.136483,1.098921,0.845519,0.847208,4.700,59.650,216.642,381.217,5,0.306690,8.00
104,667,1.097039,2.133005,1.117253,203,202,1.00495,4.659524,0.904605,1.785529,-11.281928,0.2713,0.044015,125,0.049753,0.042984,10,0.083141,0.798229,0.889567,0.653089,3.558,17.450,59.633,124.250,6,0.238081,8.00
105,336,1.105263,1.75188,1.090909,133,135,0.985185,4.443478,0.901316,1.841814,-7.560538,0.253682,0.067292,43,0.031766,0.022183,12,0.085837,0.464666,0.817627,0.392931,3.167,11.633,30.883,56.383,8,0.221351,8.00
106,561,1.085106,2.081522,1.128773,184,174,1.057471,4.53207,0.916828,1.801274,-12.752747,0.192585,0.091512,105,0.037414,0.020758,8,0.099217,0.759170,0.848932,0.611340,3.575,20.175,70.233,127.992,6,0.291624,8.00
107,466,1.197943,2.922078,1.096471,77,92,0.836957,3.74234,0.820051,1.730068,-32.727273,0.350239,0.218908,73,0.005519,0.039668,6,0.240000,1.060907,0.795267,0.753184,4.100,50.167,94.975,113.817,4,-0.045373,8.00
108,2847,1.063504,2.907441,1.130659,551,440,1.252273,4.89527,0.941352,1.688244,-42.788331,0.161034,0.11086,774,0.054473,0.019592,6,0.159800,1.107783,0.844610,0.851768,6.083,72.217,299.708,507.525,5,0.197075,8.00
109,771,1.117391,2.310881,1.107759,193,197,0.979695,4.353339,0.897101,1.802982,-24.515971,0.303499,0.0951,134,0.032380,0.021474,9,0.174888,0.940885,0.829917,0.722726,3.833,36.292,112.167,171.467,5,0.374751,8.00
110,1154,1.108549,2.618375,1.094877,283,308,0.918831,4.842593,0.899135,1.728071,-21.138282,0.297571,0.084951,282,0.051306,0.011192,9,0.145749,0.843206,0.818067,0.671294,4.208,34.717,142.792,264.533,6,0.186300,8.00
